Segment,Q1.a,Q4.a.3,Q4.a.4,Q4.a.5,Q4.a.6,Q4.a.10,Q4.a.17,Q8.a.1,Q8.a.2,Q8.a.6,Q8.a.8,Q9.a.2,Q9.a.3,Q9.a.4,Q9.a.5,Q9.a.6,Q9.a.8,Q23.a,Q24.a.1
2,1.407836573,2.815673145,2.815673145,4.223509718,4.223509718,2.815673145,4.223509718,5.631346291,5.631346291,4.223509718,4.223509718,1.407836573,1.407836573,1.407836573,2.815673145,1.407836573,2.815673145,1.407836573,5.631346291
5,2.693238449,2.693238449,2.693238449,2.693238449,5.386476898,2.693238449,4.039857673,5.386476898,4.039857673,6.733096122,2.693238449,2.693238449,4.039857673,1.346619224,4.039857673,1.346619224,4.039857673,1.346619224,6.733096122
4,2.82786823,2.82786823,1.885245487,4.713113717,3.770490973,2.82786823,3.770490973,1.885245487,2.82786823,2.82786823,0.942622743,0.942622743,0.942622743,0.942622743,1.885245487,0.942622743,2.82786823,0.942622743,3.770490973
3,1.979208726,0.989604363,0.989604363,1.979208726,1.979208726,1.979208726,1.979208726,4.948021816,3.958417452,3.958417452,0.989604363,1.979208726,0.989604363,0.989604363,2.968813089,1.979208726,1.979208726,0.989604363,2.968813089
3,3.367555413,2.245036942,1.122518471,3.367555413,4.490073884,2.245036942,3.367555413,4.490073884,2.245036942,5.612592355,3.367555413,2.245036942,2.245036942,2.245036942,2.245036942,2.245036942,3.367555413,1.122518471,3.367555413
5,2.807214242,1.403607121,1.403607121,1.403607121,1.403607121,0.701803561,2.105410682,2.807214242,2.807214242,3.509017803,2.807214242,0.701803561,1.403607121,0.701803561,1.403607121,0.701803561,1.403607121,1.403607121,1.403607121
4,2.788222586,2.788222586,0.929407529,1.858815057,4.647037643,1.858815057,4.647037643,4.647037643,2.788222586,4.647037643,4.647037643,1.858815057,1.858815057,1.858815057,1.858815057,1.858815057,1.858815057,0.929407529,3.717630114
3,0.929407529,0.929407529,0.929407529,0.929407529,4.647037643,2.788222586,3.717630114,0.929407529,0.929407529,4.647037643,0.929407529,1.858815057,0.929407529,0.929407529,1.858815057,0.929407529,1.858815057,0.929407529,2.788222586
3,2.553647167,1.276823584,1.276823584,1.276823584,6.384117918,1.276823584,3.830470751,3.830470751,3.830470751,6.384117918,1.276823584,2.553647167,2.553647167,2.553647167,2.553647167,3.830470751,3.830470751,1.276823584,5.107294335
5,1.723239234,0.861619617,0.861619617,2.584858851,0.861619617,3.446478468,3.446478468,1.723239234,4.308098085,4.308098085,4.308098085,1.723239234,1.723239234,1.723239234,1.723239234,1.723239234,0.861619617,0.861619617,3.446478468
3,1.222342775,1.222342775,1.222342775,1.222342775,3.667028324,1.222342775,3.667028324,1.222342775,4.889371099,1.222342775,2.44468555,1.222342775,1.222342775,1.222342775,3.667028324,2.44468555,2.44468555,1.222342775,4.889371099
5,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425,1.884382425
4,0.82802597,1.656051939,0.82802597,2.484077909,4.140129848,2.484077909,3.312103879,4.140129848,0.82802597,4.140129848,0.82802597,1.656051939,2.484077909,1.656051939,2.484077909,2.484077909,1.656051939,0.82802597,3.312103879
5,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,5.602099777,5.602099777,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955
